domain,series_id,t,y,T
wind,zone_1,2006-01-03 19:00:00,4283,22.66666667
wind,zone_1,2006-01-03 20:00:00,4114,21.33333333
wind,zone_1,2006-01-03 21:00:00,3815,20.33333333
wind,zone_1,2006-01-03 22:00:00,3415,19.33333333
wind,zone_1,2006-01-03 23:00:00,3121,17.66666667
wind,zone_1,2006-01-04 00:00:00,2934,19.66666667
wind,zone_1,2006-01-04 01:00:00,2847,18.33333333
wind,zone_1,2006-01-04 02:00:00,2802,17.66666667
wind,zone_1,2006-01-04 03:00:00,2814,16.0
wind,zone_1,2006-01-04 04:00:00,2914,15.66666667
wind,zone_1,2006-01-04 05:00:00,3217,13.66666667
wind,zone_1,2006-01-04 06:00:00,3773,12.66666667
wind,zone_1,2006-01-04 07:00:00,4008,12.66666667
wind,zone_1,2006-01-04 08:00:00,3989,13.0
wind,zone_1,2006-01-04 09:00:00,3962,16.0
wind,zone_1,2006-01-04 10:00:00,3946,21.0
wind,zone_1,2006-01-04 11:00:00,3943,24.33333333
wind,zone_1,2006-01-04 12:00:00,3873,26.33333333
wind,zone_1,2006-01-04 13:00:00,3830,29.0
wind,zone_1,2006-01-04 14:00:00,3793,30.33333333
wind,zone_1,2006-01-04 15:00:00,3846,29.66666667
wind,zone_1,2006-01-04 16:00:00,4169,28.66666667
wind,zone_1,2006-01-04 17:00:00,4407,28.66666667
wind,zone_1,2006-01-04 18:00:00,4374,28.0
wind,zone_1,2006-01-04 19:00:00,4258,26.33333333
wind,zone_1,2006-01-04 20:00:00,4078,26.0
wind,zone_1,2006-01-04 21:00:00,3760,26.33333333
wind,zone_1,2006-01-04 22:00:00,3367,27.33333333
wind,zone_1,2006-01-04 23:00:00,3053,27.33333333
wind,zone_1,2006-01-05 00:00:00,2847,27.0
wind,zone_1,2006-01-05 01:00:00,2749,26.33333333
wind,zone_1,2006-01-05 02:00:00,2704,26.33333333
wind,zone_1,2006-01-05 03:00:00,2713,26.33333333
wind,zone_1,2006-01-05 04:00:00,2801,27.0
wind,zone_1,2006-01-05 05:00:00,3084,26.0
wind,zone_1,2006-01-05 06:00:00,3627,26.66666667
wind,zone_1,2006-01-05 07:00:00,3915,27.0
wind,zone_1,2006-01-05 08:00:00,3926,27.66666667
wind,zone_1,2006-01-05 09:00:00,3952,28.0
wind,zone_1,2006-01-05 10:00:00,4011,28.0
wind,zone_1,2006-01-05 11:00:00,4024,28.33333333
wind,zone_1,2006-01-05 12:00:00,3976,29.0
wind,zone_1,2006-01-05 13:00:00,3916,29.66666667
wind,zone_1,2006-01-05 14:00:00,3857,30.33333333
wind,zone_1,2006-01-05 15:00:00,3866,30.33333333
wind,zone_1,2006-01-05 16:00:00,4113,30.66666667
wind,zone_1,2006-01-05 17:00:00,4368,30.66666667
wind,zone_1,2006-01-05 18:00:00,4337,30.33333333
wind,zone_1,2006-01-05 19:00:00,4219,30.0
wind,zone_1,2006-01-05 20:00:00,4031,30.33333333
wind,zone_1,2006-01-05 21:00:00,3716,30.0
wind,zone_1,2006-01-05 22:00:00,3324,29.66666667
wind,zone_1,2006-01-05 23:00:00,3012,29.0
wind,zone_1,2006-01-06 00:00:00,2808,29.33333333
wind,zone_1,2006-01-06 01:00:00,2710,28.66666667
wind,zone_1,2006-01-06 02:00:00,2663,28.33333333
wind,zone_1,2006-01-06 03:00:00,2679,28.0
wind,zone_1,2006-01-06 04:00:00,2764,28.33333333
wind,zone_1,2006-01-06 05:00:00,3047,27.66666667
wind,zone_1,2006-01-06 06:00:00,3578,27.0
wind,zone_1,2006-01-06 07:00:00,3843,26.66666667
wind,zone_1,2006-01-06 08:00:00,3852,26.66666667
wind,zone_1,2006-01-06 09:00:00,3880,26.33333333
wind,zone_1,2006-01-06 10:00:00,3915,27.0
wind,zone_1,2006-01-06 11:00:00,3933,26.66666667
wind,zone_1,2006-01-06 12:00:00,3873,27.33333333
wind,zone_1,2006-01-06 13:00:00,3854,27.66666667
wind,zone_1,2006-01-06 14:00:00,3828,27.33333333
wind,zone_1,2006-01-06 15:00:00,3863,28.0
wind,zone_1,2006-01-06 16:00:00,4094,27.66666667
wind,zone_1,2006-01-06 17:00:00,4274,26.33333333
wind,zone_1,2006-01-06 18:00:00,4204,26.66666667
wind,zone_1,2006-01-06 19:00:00,4060,26.0
wind,zone_1,2006-01-06 20:00:00,3914,25.66666667
wind,zone_1,2006-01-06 21:00:00,3691,24.66666667
wind,zone_1,2006-01-06 22:00:00,3388,24.33333333
wind,zone_1,2006-01-06 23:00:00,3098,23.33333333
wind,zone_1,2006-01-07 00:00:00,2895,22.33333333
wind,zone_1,2006-01-07 01:00:00,2799,21.0
wind,zone_1,2006-01-07 02:00:00,2747,20.0
wind,zone_1,2006-01-07 03:00:00,2745,18.33333333
wind,zone_1,2006-01-07 04:00:00,2790,17.33333333
wind,zone_1,2006-01-07 05:00:00,2907,16.0
wind,zone_1,2006-01-07 06:00:00,3118,14.66666667
wind,zone_1,2006-01-07 07:00:00,3363,11.66666667
wind,zone_1,2006-01-07 08:00:00,3609,10.0
wind,zone_1,2006-01-07 09:00:00,3751,13.0
wind,zone_1,2006-01-07 10:00:00,3780,17.33333333
wind,zone_1,2006-01-07 11:00:00,3752,19.33333333
wind,zone_1,2006-01-07 12:00:00,3666,21.33333333
wind,zone_1,2006-01-07 13:00:00,3592,23.33333333
wind,zone_1,2006-01-07 14:00:00,3533,24.33333333
wind,zone_1,2006-01-07 15:00:00,3571,24.33333333
wind,zone_1,2006-01-07 16:00:00,3864,24.66666667
wind,zone_1,2006-01-07 17:00:00,4180,23.0
wind,zone_1,2006-01-07 18:00:00,4135,18.33333333
wind,zone_1,2006-01-07 19:00:00,4007,16.66666667
wind,zone_1,2006-01-07 20:00:00,3864,15.33333333
wind,zone_1,2006-01-07 21:00:00,3664,16.33333333
wind,zone_1,2006-01-07 22:00:00,3385,15.66666667
wind,zone_1,2006-01-07 23:00:00,3132,15.0
wind,zone_1,2006-01-08 00:00:00,2915,15.0
wind,zone_1,2006-01-08 01:00:00,2803,15.33333333
wind,zone_1,2006-01-08 02:00:00,2742,16.0
wind,zone_1,2006-01-08 03:00:00,2730,15.66666667
wind,zone_1,2006-01-08 04:00:00,2749,16.33333333
wind,zone_1,2006-01-08 05:00:00,2819,18.33333333
wind,zone_1,2006-01-08 06:00:00,2964,18.66666667
wind,zone_1,2006-01-08 07:00:00,3175,17.66666667
wind,zone_1,2006-01-08 08:00:00,3426,19.0
wind,zone_1,2006-01-08 09:00:00,3623,20.66666667
wind,zone_1,2006-01-08 10:00:00,3705,23.33333333
wind,zone_1,2006-01-08 11:00:00,3741,24.0
wind,zone_1,2006-01-08 12:00:00,3708,25.33333333
wind,zone_1,2006-01-08 13:00:00,3638,26.66666667
wind,zone_1,2006-01-08 14:00:00,3563,28.0
wind,zone_1,2006-01-08 15:00:00,3580,29.0
wind,zone_1,2006-01-08 16:00:00,3905,28.33333333
wind,zone_1,2006-01-08 17:00:00,4219,26.33333333
wind,zone_1,2006-01-08 18:00:00,4180,23.0
wind,zone_1,2006-01-08 19:00:00,4051,23.0
wind,zone_1,2006-01-08 20:00:00,3865,20.66666667
wind,zone_1,2006-01-08 21:00:00,3562,20.33333333
wind,zone_1,2006-01-08 22:00:00,3221,18.66666667
wind,zone_1,2006-01-08 23:00:00,2970,20.0
wind,zone_1,2006-01-09 00:00:00,2800,20.66666667
wind,zone_1,2006-01-09 01:00:00,2717,22.0
wind,zone_1,2006-01-09 02:00:00,2690,23.33333333
wind,zone_1,2006-01-09 03:00:00,2711,23.33333333
wind,zone_1,2006-01-09 04:00:00,2814,24.33333333
wind,zone_1,2006-01-09 05:00:00,3125,24.33333333
wind,zone_1,2006-01-09 06:00:00,3679,25.0
wind,zone_1,2006-01-09 07:00:00,3951,25.66666667
wind,zone_1,2006-01-09 08:00:00,3961,25.66666667
wind,zone_1,2006-01-09 09:00:00,4013,26.0
wind,zone_1,2006-01-09 10:00:00,4059,27.0
wind,zone_1,2006-01-09 11:00:00,4054,28.66666667
wind,zone_1,2006-01-09 12:00:00,4013,29.66666667
wind,zone_1,2006-01-09 13:00:00,3984,30.33333333
wind,zone_1,2006-01-09 14:00:00,3924,30.33333333
wind,zone_1,2006-01-09 15:00:00,3932,31.0
wind,zone_1,2006-01-09 16:00:00,4142,30.66666667
wind,zone_1,2006-01-09 17:00:00,4385,30.66666667
wind,zone_1,2006-01-09 18:00:00,4313,30.0
wind,zone_1,2006-01-09 19:00:00,4180,30.0
wind,zone_1,2006-01-09 20:00:00,3972,30.0
wind,zone_1,2006-01-09 21:00:00,3665,32.66666667
wind,zone_1,2006-01-09 22:00:00,3271,33.66666667
wind,zone_1,2006-01-09 23:00:00,2964,33.0
wind,zone_1,2006-01-10 00:00:00,2775,30.33333333
wind,zone_1,2006-01-10 01:00:00,2673,29.33333333
wind,zone_1,2006-01-10 02:00:00,2633,28.33333333
wind,zone_1,2006-01-10 03:00:00,2646,27.33333333
wind,zone_1,2006-01-10 04:00:00,2739,28.0
wind,zone_1,2006-01-10 05:00:00,3045,29.66666667
wind,zone_1,2006-01-10 06:00:00,3603,28.0
wind,zone_1,2006-01-10 07:00:00,3832,28.0
wind,zone_1,2006-01-10 08:00:00,3807,25.66666667
wind,zone_1,2006-01-10 09:00:00,3783,31.0
wind,zone_1,2006-01-10 10:00:00,3757,33.66666667
wind,zone_1,2006-01-10 11:00:00,3741,35.66666667
wind,zone_1,2006-01-10 12:00:00,3702,37.66666667
wind,zone_1,2006-01-10 13:00:00,3681,39.0
wind,zone_1,2006-01-10 14:00:00,3640,39.33333333
wind,zone_1,2006-01-10 15:00:00,3659,40.0
wind,zone_1,2006-01-10 16:00:00,3925,38.66666667
wind,zone_1,2006-01-10 17:00:00,4271,36.66666667
wind,zone_1,2006-01-10 18:00:00,4253,33.0
wind,zone_1,2006-01-10 19:00:00,4136,30.0
wind,zone_1,2006-01-10 20:00:00,3963,29.66666667
wind,zone_1,2006-01-10 21:00:00,3669,28.66666667
wind,zone_1,2006-01-10 22:00:00,3287,28.0
wind,zone_1,2006-01-10 23:00:00,2986,27.0
wind,zone_1,2006-01-11 00:00:00,2807,27.33333333
